Warren G. Harding,"Warren Gamaliel Harding (November 2, 1865 – August 2, 1923) was the 29th president of the United States, serving from 1921 until his death in 1923. A member of the Republican Party, he was one of the most popular U.S. presidents to that point. After his death, a number of scandals, including Teapot Dome, came to light, as did his extramarital affair with Nan Britton; those eroded his popular regard.",
Henry Ford,"Henry Ford (July 30, 1863 – April 7, 1947) was an American industrialist, business magnate, and founder of the Ford Motor Company and chief developer of the assembly line technique of mass production. By creating the first automobile that middle-class Americans could afford, he converted the automobile from an expensive curiosity into an accessible conveyance that profoundly impacted the landscape of the 20th century.",
Sacco and Vanzetti,"Nicola Sacco (pronounced [niˈkɔːla ˈsakko]; April 22, 1891 – August 23, 1927) and Bartolomeo Vanzetti (pronounced [bartoloˈmɛːo vanˈtsetti, -ˈdzet-]; June 11, 1888 – August 23, 1927) were Italian immigrant anarchists who were controversially convicted of murdering a guard and a paymaster during the April 15, 1920, armed robbery of the Slater and Morrill Shoe Company in Braintree, Massachusetts, United States. Seven years later, they were electrocuted in the electric chair at Charlestown State Prison.",
Agricultural Adjustment Act,"The Agricultural Adjustment Act (AAA) was a United States federal law of the New Deal era designed to boost agricultural prices by reducing surpluses. The government bought livestock for slaughter and paid farmers subsidies not to plant on part of their land. The money for these subsidies was generated through an exclusive tax on companies which processed farm products. The Act created a new agency, the Agricultural Adjustment Administration, an agency of the U.S. Department of Agriculture, to oversee the distribution of the subsidies. The Agriculture Marketing Act, which established the Federal Farm Board in 1929, was seen as an important precursor to this act. The AAA, along with other New Deal programs, represented the federal government's first substantial effort to address economic welfare in the United States.",
Congress of Industrial Organizations,"The Congress of Industrial Organizations (CIO) was a federation of unions that organized workers in industrial unions in the United States and Canada from 1935 to 1955. Created in 1935 by John L. Lewis, who was a part of the United Mine Workers (UMW), it was originally called the Committee for Industrial Organization but changed its name in 1938 when it broke away from the American Federation of Labor (AFL). It also changed names because it was not successful with organizing unskilled workers with the AFL.The CIO supported Franklin D. Roosevelt and the New Deal Coalition, and was open to African Americans. Both the CIO and its rival the AFL grew rapidly during the Great Depression. The rivalry for dominance was bitter and sometimes violent. The Congress for Industrial Organization was founded on November 9, 1935, by eight international unions belonging to the American Federation of Labor.",
brain trust,"Brain trust was a term that originally described a group of close advisers to a political candidate or incumbent; these were often academics who were prized for their expertise in particular fields. The term is most associated with the group of advisers of Franklin D. Roosevelt during his presidential administration. More recently, however, the use of the term has expanded beyond politics to encompass any specialized group of advisers aligned to a decision maker.",
Alger Hiss,"Alger Hiss (November 11, 1904 – November 15, 1996) was an American government official accused in 1948 of having spied for the Soviet Union in the 1930s. Statutes of limitations had expired for espionage, but he was convicted of perjury in connection with this charge in 1950. Before the trial Hiss was involved in the establishment of the United Nations, both as a U.S. State Department official and as a U.N. official. In later life he worked as a lecturer and author.",
NSC 68,"""United States Objectives and Programs for National Security, better known as NSC 68, was a 66-page top secret National Security Council (NSC) policy paper drafted by the Department of State and Department of Defense and presented to President Harry S. Truman on 7 April 1950. It was one of the most important American policy statements of the Cold War. In the words of scholar Ernest R. May, NSC 68 """"provided the blueprint for the militarization of the Cold War from 1950 to the collapse of the Soviet Union at the beginning of the 1990s."""" NSC 68 and its subsequent amplifications advocated a large expansion in the military budget of the United States, the development of a hydrogen bomb, and increased military aid to allies of the United States. It made the rollback of global Communist expansion a high priority. NSC 68 rejected the alternative policies of friendly détente and containment of the Soviet Union.""",
NATO,"The North Atlantic Treaty Organization (NATO, ; French: Organisation du traité de l'Atlantique nord, OTAN), also called the North Atlantic Alliance, is an intergovernmental military alliance between 30 European and North American countries. The organization implements the North Atlantic Treaty that was signed on 4 April 1949. NATO constitutes a system of collective defence whereby its independent member states agree to mutual defence in response to an attack by any external party. NATO's Headquarters are located in Haren, Brussels, Belgium, while the headquarters of Allied Command Operations is near Mons, Belgium.",
Potsdam Conference,"The Potsdam Conference (German: Potsdamer Konferenz) was held in Potsdam, Germany, from July 17 to August 2, 1945. (In some older documents, it is also referred to as the Berlin Conference of the Three Heads of Government of the USSR, the USA, and the UK.) The participants were the Soviet Union, the United Kingdom, and the United States, represented respectively by Premier Joseph Stalin, Prime Ministers Winston Churchill and Clement Attlee, and President Harry S. Truman. They gathered to decide how to administer Germany, which had agreed to unconditional surrender nine weeks earlier on the 8th of May (Victory in Europe Day). The goals of the conference also included the establishment of the postwar order, peace treaty issues, and countering the effects of the war.",
